Adamax,Nadam,SGD,RMSProp,Adam,Adagrad,Adadelta,Proposed
0.8507,0.8587,0.8536,0.8528,0.9686,0.8496,0.8494,0.8462
0.8503,0.8572,0.8532,0.8529,0.8892,0.8495,0.8494,0.8460
0.8500,0.8566,0.8528,0.8536,0.8803,0.8495,0.8494,0.8459
0.8498,0.8559,0.8528,0.8539,0.8749,0.8495,0.8494,0.8459
0.8496,0.8556,0.8527,0.8544,0.8711,0.8495,0.8494,0.8459
0.8494,0.8551,0.8526,0.8546,0.8684,0.8494,0.8494,0.8459
0.8492,0.8550,0.8524,0.8548,0.8661,0.8494,0.8494,0.8459
0.8492,0.8546,0.8523,0.8552,0.8645,0.8494,0.8494,0.8459
0.8490,0.8543,0.8523,0.8552,0.8633,0.8494,0.8494,0.8459
0.8490,0.8541,0.8522,0.8554,0.8622,0.8494,0.8493,0.8459
