Adamax,Nadam,SGD,RMSProp,Adam,Adagrad,Adadelta,Proposed
1.8543,1.8559,1.8533,1.8529,1.8534,1.8505,1.8504,1.8504
1.8543,1.8563,1.8538,1.8529,1.8533,1.8505,1.8504,1.8504
1.8542,1.8554,1.8535,1.8528,1.8534,1.8504,1.8504,1.8504
1.8541,1.8558,1.8536,1.8529,1.8532,1.8504,1.8504,1.8504
1.8543,1.8556,1.8534,1.8532,1.8534,1.8505,1.8504,1.8504
1.8544,1.8556,1.8534,1.8526,1.8529,1.8504,1.8504,1.8504
1.8542,1.8556,1.8533,1.8527,1.8532,1.8504,1.8504,1.8504
1.8542,1.8556,1.8533,1.8529,1.8532,1.8504,1.8504,1.8504
1.8542,1.8551,1.8533,1.8528,1.853,1.8504,1.8504,1.8504
1.8542,1.8555,1.8532,1.8526,1.8528,1.8504,1.8504,1.8504
