Adamax,Nadam,SGD,RMSProp,Adam,Adagrad,Adadelta,Proposed
1.6867,1.6983,1.6890,1.6887,1.6959,1.6859,1.6859,1.6859
1.6866,1.6976,1.6887,1.6887,1.6956,1.6859,1.6859,1.6859
1.6866,1.6973,1.6887,1.6886,1.6955,1.6859,1.6859,1.6859
1.6867,1.6964,1.6885,1.6885,1.6953,1.6859,1.6859,1.6859
1.6867,1.6965,1.6884,1.6883,1.6954,1.6859,1.6859,1.6859
1.6867,1.6961,1.6884,1.6882,1.6954,1.6859,1.6859,1.6859
1.6867,1.6963,1.6883,1.6883,1.6953,1.6859,1.6859,1.6859
1.6866,1.6957,1.6884,1.6883,1.6952,1.6859,1.6859,1.6859
1.6868,1.6959,1.6883,1.6882,1.6952,1.6859,1.6859,1.6859
1.6866,1.6956,1.6882,1.6880,1.6950,1.6859,1.6859,1.6859
