Adamax,Nadam,SGD,RMSProp,Adam,Adagrad,Adadelta,Proposed
2.6390,2.6401,2.6423,2.6411,2.6398,2.6348,2.6347,2.6347
2.6389,2.6407,2.6420,2.6410,2.6393,2.6348,2.6347,2.6347
2.6389,2.6403,2.6416,2.6412,2.6372,2.6348,2.6347,2.6347
2.6388,2.6399,2.6416,2.6411,2.6369,2.6347,2.6347,2.6347
2.6388,2.6401,2.6415,2.6412,2.6369,2.6347,2.6347,2.6347
2.6389,2.6400,2.6414,2.6409,2.6366,2.6347,2.6347,2.6347
2.6388,2.6399,2.6413,2.6409,2.6366,2.6347,2.6347,2.6347
2.6389,2.6401,2.6408,2.6410,2.6366,2.6347,2.6347,2.6347
2.6389,2.6398,2.6413,2.6407,2.6365,2.6347,2.6347,2.6347
2.6389,2.6398,2.6412,2.6407,2.6365,2.6347,2.6347,2.6347
