Dataset,Metric,Method,Value
All Beauty,Precision,BPRMP,0.5391
All Beauty,Recall,BPRMP,2.0249
All Beauty,MAP,BPRMP,0.8415
All Beauty,NDCG,BPRMP,1.3991
Appreance,Precision,BPRMP,0.6899
Appreance,Recall,BPRMP,2.2319
Appreance,MAP,BPRMP,0.8087
Appreance,NDCG,BPRMP,1.5085
Software,Precision,BPRMP,0.0733
Software,Recall,BPRMP,0.1081
Software,MAP,BPRMP,0.0655
Software,NDCG,BPRMP,0.1241
ML-1M,Precision,BPRMP,0.1298
ML-1M,Recall,BPRMP,0.0711
ML-1M,MAP,BPRMP,0.072
ML-1M,NDCG,BPRMP,0.1445
ML-20M,Precision,BPRMP,0.1298
ML-20M,Recall,BPRMP,0.0711
ML-20M,MAP,BPRMP,0.072
ML-20M,NDCG,BPRMP,0.1445
All Beauty,Precision,FPMC,0.6503
All Beauty,Recall,FPMC,2.3063
All Beauty,MAP,FPMC,1.0194
All Beauty,NDCG,FPMC,1.6821
Appreance,Precision,FPMC,0.9495
Appreance,Recall,FPMC,2.572
Appreance,MAP,FPMC,1.0476
Appreance,NDCG,FPMC,1.9015
Software,Precision,FPMC,0.0788
Software,Recall,FPMC,0.1147
Software,MAP,FPMC,0.0711
Software,NDCG,FPMC,0.1325
ML-1M,Precision,FPMC,0.1861
ML-1M,Recall,FPMC,0.1059
ML-1M,MAP,FPMC,0.1119
ML-1M,NDCG,FPMC,0.2111
ML-20M,Precision,FPMC,0.1861
ML-20M,Recall,FPMC,0.1059
ML-20M,MAP,FPMC,0.1119
ML-20M,NDCG,FPMC,0.2111
All Beauty,Precision,SASRec,0.7153
All Beauty,Recall,SASRec,2.7118
All Beauty,MAP,SASRec,1.0365
All Beauty,NDCG,SASRec,1.8191
Appreance,Precision,SASRec,0.8741
Appreance,Recall,SASRec,2.3466
Appreance,MAP,SASRec,0.9211
Appreance,NDCG,SASRec,1.7359
Software,Precision,SASRec,0.0778
Software,Recall,SASRec,0.1188
Software,MAP,SASRec,0.0655
Software,NDCG,SASRec,0.1269
ML-1M,Precision,SASRec,0.2184
ML-1M,Recall,SASRec,0.1275
ML-1M,MAP,SASRec,0.1361
ML-1M,NDCG,SASRec,0.247
ML-20M,Precision,SASRec,0.2184
ML-20M,Recall,SASRec,0.1275
ML-20M,MAP,SASRec,0.1361
ML-20M,NDCG,SASRec,0.247
All Beauty,Precision,MARank,0.8737
All Beauty,Recall,MARank,3.2327
All Beauty,MAP,MARank,1.2855
All Beauty,NDCG,MARank,2.2058
Appreance,Precision,MARank,0.9829
Appreance,Recall,MARank,2.8102
Appreance,MAP,MARank,1.0556
Appreance,NDCG,MARank,1.9985
Software,Precision,MARank,0.0895
Software,Recall,MARank,0.1331
Software,MAP,MARank,0.0772
Software,NDCG,MARank,0.1444
ML-1M,Precision,MARank,0.2237
ML-1M,Recall,MARank,0.1263
ML-1M,MAP,MARank,0.1432
ML-1M,NDCG,MARank,0.253
ML-20M,Precision,MARank,0.2237
ML-20M,Recall,MARank,0.1263
ML-20M,MAP,MARank,0.1432
ML-20M,NDCG,MARank,0.253
All Beauty,Precision,HGN,0.8821
All Beauty,Recall,HGN,3.2347
All Beauty,MAP,HGN,1.317
All Beauty,NDCG,HGN,2.2612
Appreance,Precision,HGN,1.0416
Appreance,Recall,HGN,2.7691
Appreance,MAP,HGN,1.1982
Appreance,NDCG,HGN,2.0921
Software,Precision,HGN,0.0866
Software,Recall,HGN,0.1268
Software,MAP,HGN,0.0761
Software,NDCG,HGN,0.1416
ML-1M,Precision,HGN,0.2249
ML-1M,Recall,HGN,0.1301
ML-1M,MAP,HGN,0.1427
ML-1M,NDCG,HGN,0.2539
ML-20M,Precision,HGN,0.2249
ML-20M,Recall,HGN,0.1301
ML-20M,MAP,HGN,0.1427
ML-20M,NDCG,HGN,0.2539
All Beauty,Precision,GCRec,0.9974
All Beauty,Recall,GCRec,3.7431
All Beauty,MAP,GCRec,1.6549
All Beauty,NDCG,GCRec,2.7104
Appreance,Precision,GCRec,1.189
Appreance,Recall,GCRec,3.2111
Appreance,MAP,GCRec,1.4735
Appreance,NDCG,GCRec,2.4462
Software,Precision,GCRec,0.1015
Software,Recall,GCRec,0.1483
Software,MAP,GCRec,0.0941
Software,NDCG,GCRec,0.1639
ML-1M,Precision,GCRec,0.2413
ML-1M,Recall,GCRec,0.1413
ML-1M,MAP,GCRec,0.1607
ML-1M,NDCG,GCRec,0.276
ML-20M,Precision,GCRec,0.2413
ML-20M,Recall,GCRec,0.1413
ML-20M,MAP,GCRec,0.1607
ML-20M,NDCG,GCRec,0.276
All Beauty,Precision,Proposed,1.0474
All Beauty,Recall,Proposed,3.7931
All Beauty,MAP,Proposed,1.7049
All Beauty,NDCG,Proposed,2.7604
Appreance,Precision,Proposed,1.239
Appreance,Recall,Proposed,3.2611
Appreance,MAP,Proposed,1.5235
Appreance,NDCG,Proposed,2.4962
Software,Precision,Proposed,0.1515
Software,Recall,Proposed,0.1983
Software,MAP,Proposed,0.1441
Software,NDCG,Proposed,0.2139
ML-1M,Precision,Proposed,0.2913
ML-1M,Recall,Proposed,0.1913
ML-1M,MAP,Proposed,0.2107
ML-1M,NDCG,Proposed,0.326
ML-20M,Precision,Proposed,0.2913
ML-20M,Recall,Proposed,0.1913
ML-20M,MAP,Proposed,0.2107
ML-20M,NDCG,Proposed,0.326
