Dataset,Metric,Method,UserGroup,Quantity,Value
All Beauty,Precision,BPRMP,<11,5,0.5391
All Beauty,Recall,BPRMP,<11,5,2.0249
All Beauty,MAP,BPRMP,<11,5,0.8415
All Beauty,NDCG,BPRMP,<11,5,1.3991
All Beauty,Precision,BPRMP,<14,4,0.5591
All Beauty,Recall,BPRMP,<14,4,2.0449
All Beauty,MAP,BPRMP,<14,4,0.8615
All Beauty,NDCG,BPRMP,<14,4,1.4191
All Beauty,Precision,BPRMP,<22,3,0.5791
All Beauty,Recall,BPRMP,<22,3,2.0649
All Beauty,MAP,BPRMP,<22,3,0.8815
All Beauty,NDCG,BPRMP,<22,3,1.4391
All Beauty,Precision,BPRMP,<211,2,0.5991
All Beauty,Recall,BPRMP,<211,2,2.0849
All Beauty,MAP,BPRMP,<211,2,0.9015
All Beauty,NDCG,BPRMP,<211,2,1.4591
Appreance,Precision,BPRMP,<12,5,0.6899
Appreance,Recall,BPRMP,<12,5,2.2319
Appreance,MAP,BPRMP,<12,5,0.8087
Appreance,NDCG,BPRMP,<12,5,1.5085
Appreance,Precision,BPRMP,<18,4,0.7099
Appreance,Recall,BPRMP,<18,4,2.2519
Appreance,MAP,BPRMP,<18,4,0.8287
Appreance,NDCG,BPRMP,<18,4,1.5285
Appreance,Precision,BPRMP,<34,3,0.7299
Appreance,Recall,BPRMP,<34,3,2.2719
Appreance,MAP,BPRMP,<34,3,0.8487
Appreance,NDCG,BPRMP,<34,3,1.5485
Appreance,Precision,BPRMP,<389,2,0.7499
Appreance,Recall,BPRMP,<389,2,2.2919
Appreance,MAP,BPRMP,<389,2,0.8687
Appreance,NDCG,BPRMP,<389,2,1.5685
Software,Precision,BPRMP,<27,5,0.0733
Software,Recall,BPRMP,<27,5,0.1081
Software,MAP,BPRMP,<27,5,0.0655
Software,NDCG,BPRMP,<27,5,0.1241
Software,Precision,BPRMP,<50,4,0.0933
Software,Recall,BPRMP,<50,4,0.1281
Software,MAP,BPRMP,<50,4,0.0855
Software,NDCG,BPRMP,<50,4,0.1441
Software,Precision,BPRMP,<107,3,0.1133
Software,Recall,BPRMP,<107,3,0.1481
Software,MAP,BPRMP,<107,3,0.1055
Software,NDCG,BPRMP,<107,3,0.1641
Software,Precision,BPRMP,<764,2,0.1333
Software,Recall,BPRMP,<764,2,0.1681
Software,MAP,BPRMP,<764,2,0.1255
Software,NDCG,BPRMP,<764,2,0.1841
ML-1M,Precision,BPRMP,<147,5,0.1298
ML-1M,Recall,BPRMP,<147,5,0.0711
ML-1M,MAP,BPRMP,<147,5,0.072
ML-1M,NDCG,BPRMP,<147,5,0.1445
ML-1M,Precision,BPRMP,<302,4,0.1498
ML-1M,Recall,BPRMP,<302,4,0.0911
ML-1M,MAP,BPRMP,<302,4,0.092
ML-1M,NDCG,BPRMP,<302,4,0.1645
ML-1M,Precision,BPRMP,<546,3,0.1698
ML-1M,Recall,BPRMP,<546,3,0.1111
ML-1M,MAP,BPRMP,<546,3,0.112
ML-1M,NDCG,BPRMP,<546,3,0.1845
ML-1M,Precision,BPRMP,<2314,2,0.1898
ML-1M,Recall,BPRMP,<2314,2,0.1311
ML-1M,MAP,BPRMP,<2314,2,0.132
ML-1M,NDCG,BPRMP,<2314,2,0.2045
ML-20M,Precision,BPRMP,<147,5,0.1298
ML-20M,Recall,BPRMP,<147,5,0.0711
ML-20M,MAP,BPRMP,<147,5,0.072
ML-20M,NDCG,BPRMP,<147,5,0.1445
ML-20M,Precision,BPRMP,<302,4,0.1498
ML-20M,Recall,BPRMP,<302,4,0.0911
ML-20M,MAP,BPRMP,<302,4,0.092
ML-20M,NDCG,BPRMP,<302,4,0.1645
ML-20M,Precision,BPRMP,<546,3,0.1698
ML-20M,Recall,BPRMP,<546,3,0.1111
ML-20M,MAP,BPRMP,<546,3,0.112
ML-20M,NDCG,BPRMP,<546,3,0.1845
ML-20M,Precision,BPRMP,<2314,2,0.1898
ML-20M,Recall,BPRMP,<2314,2,0.1311
ML-20M,MAP,BPRMP,<2314,2,0.132
ML-20M,NDCG,BPRMP,<2314,2,0.2045
All Beauty,Precision,FPMC,<11,5,0.6503
All Beauty,Recall,FPMC,<11,5,2.3063
All Beauty,MAP,FPMC,<11,5,1.0194
All Beauty,NDCG,FPMC,<11,5,1.6821
All Beauty,Precision,FPMC,<14,4,0.6703
All Beauty,Recall,FPMC,<14,4,2.3263
All Beauty,MAP,FPMC,<14,4,1.0394
All Beauty,NDCG,FPMC,<14,4,1.7021
All Beauty,Precision,FPMC,<22,3,0.6903
All Beauty,Recall,FPMC,<22,3,2.3463
All Beauty,MAP,FPMC,<22,3,1.0594
All Beauty,NDCG,FPMC,<22,3,1.7221
All Beauty,Precision,FPMC,<211,2,0.7103
All Beauty,Recall,FPMC,<211,2,2.3663
All Beauty,MAP,FPMC,<211,2,1.0794
All Beauty,NDCG,FPMC,<211,2,1.7421
Appreance,Precision,FPMC,<12,5,0.9495
Appreance,Recall,FPMC,<12,5,2.572
Appreance,MAP,FPMC,<12,5,1.0476
Appreance,NDCG,FPMC,<12,5,1.9015
Appreance,Precision,FPMC,<18,4,0.9695
Appreance,Recall,FPMC,<18,4,2.592
Appreance,MAP,FPMC,<18,4,1.0676
Appreance,NDCG,FPMC,<18,4,1.9215
Appreance,Precision,FPMC,<34,3,0.9895
Appreance,Recall,FPMC,<34,3,2.612
Appreance,MAP,FPMC,<34,3,1.0876
Appreance,NDCG,FPMC,<34,3,1.9415
Appreance,Precision,FPMC,<389,2,1.0095
Appreance,Recall,FPMC,<389,2,2.632
Appreance,MAP,FPMC,<389,2,1.1076
Appreance,NDCG,FPMC,<389,2,1.9615
Software,Precision,FPMC,<27,5,0.0788
Software,Recall,FPMC,<27,5,0.1147
Software,MAP,FPMC,<27,5,0.0711
Software,NDCG,FPMC,<27,5,0.1325
Software,Precision,FPMC,<50,4,0.0988
Software,Recall,FPMC,<50,4,0.1347
Software,MAP,FPMC,<50,4,0.0911
Software,NDCG,FPMC,<50,4,0.1525
Software,Precision,FPMC,<107,3,0.1188
Software,Recall,FPMC,<107,3,0.1547
Software,MAP,FPMC,<107,3,0.1111
Software,NDCG,FPMC,<107,3,0.1725
Software,Precision,FPMC,<764,2,0.1388
Software,Recall,FPMC,<764,2,0.1747
Software,MAP,FPMC,<764,2,0.1311
Software,NDCG,FPMC,<764,2,0.1925
ML-1M,Precision,FPMC,<147,5,0.1861
ML-1M,Recall,FPMC,<147,5,0.1059
ML-1M,MAP,FPMC,<147,5,0.1119
ML-1M,NDCG,FPMC,<147,5,0.2111
ML-1M,Precision,FPMC,<302,4,0.2061
ML-1M,Recall,FPMC,<302,4,0.1259
ML-1M,MAP,FPMC,<302,4,0.1319
ML-1M,NDCG,FPMC,<302,4,0.2311
ML-1M,Precision,FPMC,<546,3,0.2261
ML-1M,Recall,FPMC,<546,3,0.1459
ML-1M,MAP,FPMC,<546,3,0.1519
ML-1M,NDCG,FPMC,<546,3,0.2511
ML-1M,Precision,FPMC,<2314,2,0.2461
ML-1M,Recall,FPMC,<2314,2,0.1659
ML-1M,MAP,FPMC,<2314,2,0.1719
ML-1M,NDCG,FPMC,<2314,2,0.2711
ML-20M,Precision,FPMC,<147,5,0.1861
ML-20M,Recall,FPMC,<147,5,0.1059
ML-20M,MAP,FPMC,<147,5,0.1119
ML-20M,NDCG,FPMC,<147,5,0.2111
ML-20M,Precision,FPMC,<302,4,0.2061
ML-20M,Recall,FPMC,<302,4,0.1259
ML-20M,MAP,FPMC,<302,4,0.1319
ML-20M,NDCG,FPMC,<302,4,0.2311
ML-20M,Precision,FPMC,<546,3,0.2261
